budget_function_code,budget_function_title
750,Administration of Justice
350,Agriculture
370,Commerce and Housing Credit
450,Community and Regional Development
500,"Education, Training, Employment, and Social Services"
270,Energy
800,General Government
250,"General Science, Space, and Technology"
000,Governmental Receipts
550,Health
600,Income Security
150,International Affairs
570,Medicare
990,Multiple functions
050,National Defense
300,Natural Resources and Environment
900,Net Interest
650,Social Security
400,Transportation
700,Veterans Benefits and Services
