fy,quarter,budget_function_code,budget_function_name,amount,total
2017,1,None,Unreported Data,1447665484518.35,
2017,2,000,Governmental Receipts,0.0,
2017,2,050,National Defense,493581700396.18,
2017,2,150,International Affairs,42584696000.49,
2017,2,250,"General Science, Space, and Technology",14683026550.53,
2017,2,270,Energy,6219260709.22,
2017,2,300,Natural Resources and Environment,31838208776.12,
2017,2,350,Agriculture,14934677763.12,
2017,2,370,Commerce and Housing Credit,18334110091.0,
2017,2,400,Transportation,37545515957.6,
2017,2,450,Community and Regional Development,22714834398.08,
2017,2,500,"Education, Training, Employment, and Social Services",52098107771.82,
2017,2,550,Health,342273878512.56,
2017,2,570,Medicare,506986616526.96,
2017,2,600,Income Security,348828895724.1,
2017,2,650,Social Security,495188500372.82,
2017,2,700,Veterans Benefits and Services,113243368864.26,
2017,2,750,Administration of Justice,32981124736.46,
2017,2,800,General Government,233889293686.48,
2017,2,900,Net Interest,228552149896.52,
2017,2,None,Unreported Data,-50799496683.47,
2017,3,000,Governmental Receipts,0.0,
2017,3,050,National Defense,690537481517.33,
2017,3,150,International Affairs,77201596424.62,
2017,3,250,"General Science, Space, and Technology",24169107412.23,
2017,3,270,Energy,8864221243.14,
2017,3,300,Natural Resources and Environment,40935159589.49,
2017,3,350,Agriculture,11430854108.68,
2017,3,370,Commerce and Housing Credit,45017640446.98,
2017,3,400,Transportation,66499738162.01,
2017,3,450,Community and Regional Development,24043417450.74,
2017,3,500,"Education, Training, Employment, and Social Services",106183001457.91,
2017,3,550,Health,488084373398.59,
2017,3,570,Medicare,774575964926.71,
2017,3,600,Income Security,423536784545.89,
2017,3,650,Social Security,745540351124.4,
2017,3,700,Veterans Benefits and Services,142375502908.5,
2017,3,750,Administration of Justice,50117489323.73,
2017,3,800,General Government,358446399206.87,
2017,3,900,Net Interest,384028108141.27,
2017,3,None,Unreported Data,66626642717.01,
2017,4,000,Governmental Receipts,0.0,
2017,4,050,National Defense,931355381710.86,
2017,4,150,International Affairs,115318860612.61,
2017,4,250,"General Science, Space, and Technology",35843439628.3,
2017,4,270,Energy,14305535949.47,
2017,4,300,Natural Resources and Environment,66435547006.48,
2017,4,350,Agriculture,17581301369.97,
2017,4,370,Commerce and Housing Credit,51569350469.7,
2017,4,400,Transportation,110345436015.64,
2017,4,450,Community and Regional Development,43298433123.35,
2017,4,500,"Education, Training, Employment, and Social Services",174623844300.82,
2017,4,550,Health,668798313890.32,
2017,4,570,Medicare,1046629647350.25,
2017,4,600,Income Security,535397128694.49,
2017,4,650,Social Security,996372134632.39,
2017,4,700,Veterans Benefits and Services,192544747108.25,
2017,4,750,Administration of Justice,73835078501.62,
2017,4,800,General Government,407875122194.91,
2017,4,900,Net Interest,470678363126.32,
2017,4,None,Unreported Data,97948711029.93,
2018,1,000,Governmental Receipts,0.0,
2018,1,050,National Defense,298811482139.38,
2018,1,150,International Affairs,19978693185.52,
2018,1,250,"General Science, Space, and Technology",5860144291.13,
2018,1,270,Energy,3153286249.78,
2018,1,300,Natural Resources and Environment,16336116978.82,
2018,1,350,Agriculture,4481597129.7,
2018,1,370,Commerce and Housing Credit,7994445178.77,
2018,1,400,Transportation,17389237973.02,
2018,1,450,Community and Regional Development,33236971219.78,
2018,1,500,"Education, Training, Employment, and Social Services",31398423187.48,
2018,1,550,Health,154438405495.97,
2018,1,570,Medicare,228400341812.35,
2018,1,600,Income Security,123376480400.53,
2018,1,650,Social Security,254305886252.52,
2018,1,700,Veterans Benefits and Services,51351932091.55,
2018,1,750,Administration of Justice,15523884550.85,
2018,1,800,General Government,62794158421.44,
2018,1,900,Net Interest,150249449516.77,
2018,1,None,Unreported Data,9676474076.5,
2018,2,000,Governmental Receipts,0.0,
2018,2,050,National Defense,503863286315.69,
2018,2,150,International Affairs,51720300663.82,
2018,2,250,"General Science, Space, and Technology",13494799760.97,
2018,2,270,Energy,6741049450.16,
2018,2,300,Natural Resources and Environment,30537981494.44,
2018,2,350,Agriculture,15670666231.01,
2018,2,370,Commerce and Housing Credit,26040912696.25,
2018,2,400,Transportation,37416838685.75,
2018,2,450,Community and Regional Development,49562830256.5,
2018,2,500,"Education, Training, Employment, and Social Services",43945687375.74,
2018,2,550,Health,349606801344.23,
2018,2,570,Medicare,517593315752.75,
2018,2,600,Income Security,307058553258.59,
2018,2,650,Social Security,514922276590.25,
2018,2,700,Veterans Benefits and Services,101747619570.05,
2018,2,750,Administration of Justice,32357010893.54,
2018,2,800,General Government,242776895721.62,
2018,2,900,Net Interest,248254641289.3,
2018,2,None,Unreported Data,9680769359.35,
2018,3,000,Governmental Receipts,0.0,
2018,3,050,National Defense,743750044358.35,
2018,3,150,International Affairs,77971023169.44,
2018,3,250,"General Science, Space, and Technology",25239826163.45,
2018,3,270,Energy,10580455407.3,
2018,3,300,Natural Resources and Environment,49302975029.02,
2018,3,350,Agriculture,20246920480.55,
2018,3,370,Commerce and Housing Credit,48633974312.78,
2018,3,400,Transportation,68948946727.99,
2018,3,450,Community and Regional Development,57533177305.73,
2018,3,500,"Education, Training, Employment, and Social Services",70736541583.15,
2018,3,550,Health,513747032086.99,
2018,3,570,Medicare,804507234392.01,
2018,3,600,Income Security,440522158427.17,
2018,3,650,Social Security,777548858687.52,
2018,3,700,Veterans Benefits and Services,152813470920.29,
2018,3,750,Administration of Justice,50285357722.74,
2018,3,800,General Government,374591798696.04,
2018,3,900,Net Interest,424544710308.21,
2018,3,None,Unreported Data,32375112355.13,
2018,4,000,Governmental Receipts,0.0,
2018,4,050,National Defense,995628286613.38,
2018,4,150,International Affairs,132246727890.15,
2018,4,250,"General Science, Space, and Technology",37792024090.22,
2018,4,270,Energy,18502982419.96,
2018,4,300,Natural Resources and Environment,77054628502.75,
2018,4,350,Agriculture,28562838395.14,
2018,4,370,Commerce and Housing Credit,57048013311.77,
2018,4,400,Transportation,116235760516.11,
2018,4,450,Community and Regional Development,84676044169.34,
2018,4,500,"Education, Training, Employment, and Social Services",129466165340.45,
2018,4,550,Health,696461718451.45,
2018,4,570,Medicare,1059508772649.84,
2018,4,600,Income Security,548342351544.8,
2018,4,650,Social Security,1039099908076.79,
2018,4,700,Veterans Benefits and Services,205728246973.65,
2018,4,750,Administration of Justice,76508725336.74,
2018,4,800,General Government,432201717954.02,
2018,4,900,Net Interest,535112268995.69,
2018,4,None,Unreported Data,43797663697.61,
2019,1,000,Governmental Receipts,0.0,
2019,1,050,National Defense,371478539473.82,
2019,1,150,International Affairs,35213516702.9,
2019,1,250,"General Science, Space, and Technology",6445899452.82,
2019,1,270,Energy,2344638504.41,
2019,1,300,Natural Resources and Environment,14547938712.08,
2019,1,350,Agriculture,14495403553.47,
2019,1,370,Commerce and Housing Credit,6640279137.76,
2019,1,400,Transportation,18114557917.37,
2019,1,450,Community and Regional Development,9962808286.89,
2019,1,500,"Education, Training, Employment, and Social Services",38271835665.49,
2019,1,550,Health,168180345080.92,
2019,1,570,Medicare,273180031194.15,
2019,1,600,Income Security,130024572937.9,
2019,1,650,Social Security,270988863288.42,
2019,1,700,Veterans Benefits and Services,55104558948.62,
2019,1,750,Administration of Justice,16817440795.75,
2019,1,800,General Government,63921150311.38,
2019,1,900,Net Interest,167357141082.61,
2019,1,None,Unreported Data,15079915750.72,
2019,2,000,Governmental Receipts,0.0,
2019,2,050,National Defense,607278305429.31,
2019,2,150,International Affairs,58688835339.16,
2019,2,250,"General Science, Space, and Technology",16727179533.55,
2019,2,270,Energy,7122610585.89,
2019,2,300,Natural Resources and Environment,27823407479.21,
2019,2,350,Agriculture,24721627468.55,
2019,2,370,Commerce and Housing Credit,14126048700.21,
2019,2,400,Transportation,43109412726.98,
2019,2,450,Community and Regional Development,22945214302.16,
2019,2,500,"Education, Training, Employment, and Social Services",50247204432.39,
2019,2,550,Health,371378781487.66,
2019,2,570,Medicare,554116782823.63,
2019,2,600,Income Security,317180359104.1,
2019,2,650,Social Security,544181267424.36,
2019,2,700,Veterans Benefits and Services,108174612019.75,
2019,2,750,Administration of Justice,33697626102.83,
2019,2,800,General Government,225543007895.14,
2019,2,900,Net Interest,265834638213.92,
2019,2,None,Unreported Data,24100069486.4,
2019,3,000,Governmental Receipts,0.0,
2019,3,050,National Defense,817147273567.4,
2019,3,150,International Affairs,86837170780.36,
2019,3,250,"General Science, Space, and Technology",26536981442.6,
2019,3,270,Energy,12946807035.72,
2019,3,300,Natural Resources and Environment,45172904179.08,
2019,3,350,Agriculture,29014665653.44,
2019,3,370,Commerce and Housing Credit,32400174250.39,
2019,3,400,Transportation,72463204867.05,
2019,3,450,Community and Regional Development,36681241176.15,
