fy,quarter,budget_function_code,budget_function_name,budget_subfunction_code,budget_subfunction_name,amount,total
2017,2,000,Governmental Receipts,000,Governmental Receipts,0.0,
2017,2,050,National Defense,051,Department of Defense-Military,389396448520.15,
2017,2,050,National Defense,053,Atomic energy defense activities,12451351384.32,
2017,2,050,National Defense,054,Defense-related activities,91733900491.71,
2017,2,150,International Affairs,151,International development and humanitarian assistance,11341374210.97,
2017,2,150,International Affairs,152,International security assistance,7483627799.3,
2017,2,150,International Affairs,153,Conduct of foreign affairs,10815533347.59,
2017,2,150,International Affairs,154,Foreign information and exchange activities,591347409.62,
2017,2,150,International Affairs,155,International financial programs,12352813233.01,
2017,2,250,"General Science, Space, and Technology",251,General science and basic research,4420201779.91,
2017,2,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",10262824770.62,
2017,2,270,Energy,271,Energy supply,4329574191.87,
2017,2,270,Energy,272,Energy conservation,980559021.71,
2017,2,270,Energy,274,Emergency energy preparedness,119745953.95,
2017,2,270,Energy,276,"Energy information, policy, and regulation",789381541.69,
2017,2,300,Natural Resources and Environment,301,Water resources,8661463407.13,
2017,2,300,Natural Resources and Environment,302,Conservation and land management,13014716498.54,
2017,2,300,Natural Resources and Environment,303,Recreational resources,1719314024.18,
2017,2,300,Natural Resources and Environment,304,Pollution control and abatement,3407580960.9,
2017,2,300,Natural Resources and Environment,306,Other natural resources,5035133885.37,
2017,2,350,Agriculture,351,Farm income stabilization,10014812814.14,
2017,2,350,Agriculture,352,Agricultural research and services,4919864948.98,
2017,2,370,Commerce and Housing Credit,371,Mortgage credit,10070545.4,
2017,2,370,Commerce and Housing Credit,373,Deposit insurance,-415079996.25,
2017,2,370,Commerce and Housing Credit,376,Other advancement of commerce,18739119541.85,
2017,2,400,Transportation,401,Ground transportation,16907381911.46,
2017,2,400,Transportation,402,Air transportation,14371670631.9,
2017,2,400,Transportation,403,Water transportation,5620287796.08,
2017,2,400,Transportation,407,Other transportation,646175618.16,
2017,2,450,Community and Regional Development,451,Community development,12215024560.1,
2017,2,450,Community and Regional Development,452,Area and regional development,2476299522.94,
2017,2,450,Community and Regional Development,453,Disaster relief and insurance,8023510315.04,
2017,2,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",24876017196.45,
2017,2,500,"Education, Training, Employment, and Social Services",502,Higher education,6914115924.51,
2017,2,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,1008851699.01,
