geo_code,geo_name,fy,obligated_amount,population,per_capita
AK,Alaska,2008,1855483874.94,733391.0,2530.0063335110467
AK,Alaska,2009,2545935733.55,733391.0,3471.4575629507317
AK,Alaska,2010,1959543483.01,733391.0,2671.8946414804655
AK,Alaska,2011,2222684756.33,733391.0,3030.6954357634604
AK,Alaska,2012,1912767681.01,733391.0,2608.1144723755815
AK,Alaska,2013,2198853894.64,733391.0,2998.201361402035
AK,Alaska,2014,2408732297.93,733391.0,3284.3766802837777
AK,Alaska,2015,2752414644.23,733391.0,3752.9975745952706
AK,Alaska,2016,2678745826.22,733391.0,3652.5479944804338
AK,Alaska,2017,2981873783.9,733391.0,4065.8717981267837
AK,Alaska,2018,3038340540.08,733391.0,4142.865865656928
AK,Alaska,2019,3172131245.0,733391.0,4325.293390565196
AK,Alaska,2020,3676303340.06,733391.0,5012.746734088638
AK,Alaska,2021,5221281105.65,733391.0,7119.368939147057
AK,Alaska,2022,5465358612.87,733391.0,7452.175732821919
AK,Alaska,2023,5580233668.67,733391.0,7608.811218940511
AK,Alaska,2024,6316966962.67,733391.0,8613.368534206174
AL,Alabama,2008,8944004213.47,5024279.0,1780.1567575108786
AL,Alabama,2009,14399372748.05,5024279.0,2865.958030604988
AL,Alabama,2010,9377952250.06,5024279.0,1866.526968359042
AL,Alabama,2011,13687881569.7,5024279.0,2724.3474277005716
AL,Alabama,2012,18788789494.37,5024279.0,3739.5991533053793
AL,Alabama,2013,19625140280.39,5024279.0,3906.06100504968
AL,Alabama,2014,16630829815.13,5024279.0,3310.0928143381366
AL,Alabama,2015,16439325001.5,5024279.0,3271.9769347004813
AL,Alabama,2016,18245423019.46,5024279.0,3631.451004106261
AL,Alabama,2017,17848010851.13,5024279.0,3552.352656198034
AL,Alabama,2018,13815298492.11,5024279.0,2749.707667928075
AL,Alabama,2019,13236295474.39,5024279.0,2634.4666517106234
AL,Alabama,2020,14689050573.03,5024279.0,2923.6136315339972
AL,Alabama,2021,16471384014.88,5024279.0,3278.3577533970542
AL,Alabama,2022,18169772048.08,5024279.0,3616.3939239998417
AL,Alabama,2023,17050375489.54,5024279.0,3393.596472158493
AL,Alabama,2024,18887193182.78,5024279.0,3759.18478706696
AR,Arkansas,2008,3790241037.95,3011524.0,1258.5790576299573
AR,Arkansas,2009,7078559801.31,3011524.0,2350.490914669782
AR,Arkansas,2010,4543024489.54,3011524.0,1508.5466659206436
AR,Arkansas,2011,4693975113.86,3011524.0,1558.670996432371
AR,Arkansas,2012,6707559920.15,3011524.0,2227.2975145308487
AR,Arkansas,2013,6003836601.53,3011524.0,1993.6207055065806
AR,Arkansas,2014,6451442555.13,3011524.0,2142.251748659483
AR,Arkansas,2015,6246496029.8,3011524.0,2074.197658660532
AR,Arkansas,2016,6196933988.03,3011524.0,2057.7401966678663
AR,Arkansas,2017,6135104096.25,3011524.0,2037.2090995290093
AR,Arkansas,2018,6317435710.46,3011524.0,2097.7537321502336
AR,Arkansas,2019,6686661744.2,3011524.0,2220.3581124374236
AR,Arkansas,2020,7647515885.89,3011524.0,2539.417213972062
AR,Arkansas,2021,8097251772.24,3011524.0,2688.7555178839684
AR,Arkansas,2022,8932369390.43,3011524.0,2966.06282746875
AR,Arkansas,2023,8719772366.64,3011524.0,2895.4683298688637
AR,Arkansas,2024,9642173673.98,3011524.0,3201.758868260721
AS,American Samoa,2008,60100322.2,49710.0,1209.018752766043
AS,American Samoa,2009,77870225.17,49710.0,1566.4901462482399
AS,American Samoa,2010,180163686.37,49710.0,3624.294636290485
AS,American Samoa,2011,62203077.31,49710.0,1251.3191975457655
AS,American Samoa,2012,60169601.51,49710.0,1210.4124222490443
AS,American Samoa,2013,75450425.25,49710.0,1517.8118135184068
AS,American Samoa,2014,87663855.36,49710.0,1763.5054387447194
AS,American Samoa,2015,65074081.89,49710.0,1309.0742685576342
AS,American Samoa,2016,99439122.87,49710.0,2000.3846885938444
AS,American Samoa,2017,86753593.01,49710.0,1745.193985314826
AS,American Samoa,2018,117360764.49,49710.0,2360.9085594447797
AS,American Samoa,2019,236670042.83,49710.0,4761.014742104205
AS,American Samoa,2020,124589432.2,49710.0,2506.3253309193324
AS,American Samoa,2021,133289598.06,49710.0,2681.3437549788773
AS,American Samoa,2022,205932786.34,49710.0,4142.683289881312
AS,American Samoa,2023,165016800.1,49710.0,3319.589621806477
AS,American Samoa,2024,191398964.3,49710.0,3850.311090323879
AZ,Arizona,2008,9822005036.45,7151502.0,1373.4184841799668
AZ,Arizona,2009,15253858274.12,7151502.0,2132.958681144185
AZ,Arizona,2010,12233054018.81,7151502.0,1710.5573093330604
AZ,Arizona,2011,15003531765.34,7151502.0,2097.9553337662496
AZ,Arizona,2012,14536477485.75,7151502.0,2032.6467762646225
AZ,Arizona,2013,18258670333.58,7151502.0,2553.123851965643
AZ,Arizona,2014,15981721561.18,7151502.0,2234.736361841191
AZ,Arizona,2015,16000666522.89,7151502.0,2237.38545034176
AZ,Arizona,2016,20460633703.16,7151502.0,2861.0260758033764
AZ,Arizona,2017,20265949109.5,7151502.0,2833.8031800172885
AZ,Arizona,2018,21909479246.28,7151502.0,3063.619257364397
AZ,Arizona,2019,22797054853.07,7151502.0,3187.729634008352
AZ,Arizona,2020,33581502129.88,7151502.0,4695.727153523833
AZ,Arizona,2021,28940731651.53,7151502.0,4046.804664464891
AZ,Arizona,2022,30374001400.09,7151502.0,4247.219870747432
AZ,Arizona,2023,28630414932.58,7151502.0,4003.4128400691216
AZ,Arizona,2024,32489116090.3,7151502.0,4542.977977255687
CA,California,2008,50023413684.65,39538223.0,1265.1912475846475
CA,California,2009,82716730195.72,39538223.0,2092.07000010395
CA,California,2010,55358284930.71,39538223.0,1400.1207118162595
CA,California,2011,75194293908.79,39538223.0,1901.8126815863725
CA,California,2012,70470640588.74,39538223.0,1782.342129759853
CA,California,2013,81801510171.23,39538223.0,2068.922272283962
CA,California,2014,71770637124.86,39538223.0,1815.2216179482825
CA,California,2015,61309525882.01,39538223.0,1550.6393871573339
CA,California,2016,81780673553.94,39538223.0,2068.395272947396
CA,California,2017,84386375295.44,39538223.0,2134.298632880896
CA,California,2018,78560158356.22,39538223.0,1986.942062525673
CA,California,2019,80116194551.97,39538223.0,2026.2973010185613
