code,name,amount,population,fy,quarter,agency_type,agency_code,agency_name,geo_layer
CO,Colorado,49569.91,5773714,2008,1,awarding,27,Federal Communications Commission,state
DC,District Of Columbia,2230664.37,689545,2008,1,awarding,27,Federal Communications Commission,state
FL,Florida,13941.94,21538187,2008,1,awarding,27,Federal Communications Commission,state
GA,Georgia,3199.99,10711908,2008,1,awarding,27,Federal Communications Commission,state
MD,Maryland,3141.5,6177224,2008,1,awarding,27,Federal Communications Commission,state
NE,Nebraska,91336.56,1961504,2008,1,awarding,27,Federal Communications Commission,state
NJ,New Jersey,6244.6,9288994,2008,1,awarding,27,Federal Communications Commission,state
OH,Ohio,235614.4,11799448,2008,1,awarding,27,Federal Communications Commission,state
PA,Pennsylvania,359856.44,13002700,2008,1,awarding,27,Federal Communications Commission,state
VA,Virginia,147465.45,8631393,2008,1,awarding,27,Federal Communications Commission,state
CA,California,0.0,39538223,2008,2,awarding,27,Federal Communications Commission,state
DC,District Of Columbia,13506352.82,689545,2008,2,awarding,27,Federal Communications Commission,state
FL,Florida,5200.0,21538187,2008,2,awarding,27,Federal Communications Commission,state
GA,Georgia,26372.0,10711908,2008,2,awarding,27,Federal Communications Commission,state
MA,Massachusetts,1350.0,7029917,2008,2,awarding,27,Federal Communications Commission,state
MD,Maryland,105100.0,6177224,2008,2,awarding,27,Federal Communications Commission,state
PA,Pennsylvania,844109.08,13002700,2008,2,awarding,27,Federal Communications Commission,state
VA,Virginia,25000.0,8631393,2008,2,awarding,27,Federal Communications Commission,state
CA,California,32345.0,39538223,2008,3,awarding,27,Federal Communications Commission,state
DC,District Of Columbia,12754967.91,689545,2008,3,awarding,27,Federal Communications Commission,state
GA,Georgia,90154.0,10711908,2008,3,awarding,27,Federal Communications Commission,state
PA,Pennsylvania,421909.07,13002700,2008,3,awarding,27,Federal Communications Commission,state
VA,Virginia,179626.0,8631393,2008,3,awarding,27,Federal Communications Commission,state
CA,California,77292.0,39538223,2008,4,awarding,27,Federal Communications Commission,state
CT,Connecticut,-10.44,3605944,2008,4,awarding,27,Federal Communications Commission,state
DC,District Of Columbia,30027683.04,689545,2008,4,awarding,27,Federal Communications Commission,state
FL,Florida,6486.94,21538187,2008,4,awarding,27,Federal Communications Commission,state
GA,Georgia,244686.0,10711908,2008,4,awarding,27,Federal Communications Commission,state
MA,Massachusetts,9420.25,7029917,2008,4,awarding,27,Federal Communications Commission,state
MD,Maryland,1394839.0,6177224,2008,4,awarding,27,Federal Communications Commission,state
MN,Minnesota,912897.0,5706494,2008,4,awarding,27,Federal Communications Commission,state
NE,Nebraska,51445.23,1961504,2008,4,awarding,27,Federal Communications Commission,state
NY,New York,1391876.0,20201249,2008,4,awarding,27,Federal Communications Commission,state
PR,Puerto Rico,5400.0,3285874,2008,4,awarding,27,Federal Communications Commission,state
TX,Texas,13890.02,29145505,2008,4,awarding,27,Federal Communications Commission,state
