code,name,amount,population,fy,quarter,agency_type,agency_code,agency_name,geo_layer
AL,Alabama,895476.29,5024279.0,2008,1,funding,15,Department of Justice,state
AR,Arkansas,-6777.0,3011524.0,2008,1,funding,15,Department of Justice,state
AZ,Arizona,315100.0,7151502.0,2008,1,funding,15,Department of Justice,state
CA,California,1953532.76,39538223.0,2008,1,funding,15,Department of Justice,state
CO,Colorado,697058.0,5773714.0,2008,1,funding,15,Department of Justice,state
CT,Connecticut,-1671382.96,3605944.0,2008,1,funding,15,Department of Justice,state
DC,District Of Columbia,2709172.45,689545.0,2008,1,funding,15,Department of Justice,state
FL,Florida,71540.96,21538187.0,2008,1,funding,15,Department of Justice,state
GA,Georgia,27084082.43,10711908.0,2008,1,funding,15,Department of Justice,state
HI,Hawaii,41549.92,1455271.0,2008,1,funding,15,Department of Justice,state
IA,Iowa,672.28,3190369.0,2008,1,funding,15,Department of Justice,state
IL,Illinois,3481336.28,12812508.0,2008,1,funding,15,Department of Justice,state
IN,Indiana,588.85,6785528.0,2008,1,funding,15,Department of Justice,state
KY,Kentucky,4297.5,4505836.0,2008,1,funding,15,Department of Justice,state
LA,Louisiana,721420.52,4657757.0,2008,1,funding,15,Department of Justice,state
MA,Massachusetts,1408045.41,7029917.0,2008,1,funding,15,Department of Justice,state
MD,Maryland,-14196337.62,6177224.0,2008,1,funding,15,Department of Justice,state
ME,Maine,583324.5,1362359.0,2008,1,funding,15,Department of Justice,state
MI,Michigan,421098.8,10077331.0,2008,1,funding,15,Department of Justice,state
MN,Minnesota,3532303.19,5706494.0,2008,1,funding,15,Department of Justice,state
MO,Missouri,2830338.16,6154913.0,2008,1,funding,15,Department of Justice,state
MS,Mississippi,39750.0,2961279.0,2008,1,funding,15,Department of Justice,state
NC,North Carolina,652139.87,10439388.0,2008,1,funding,15,Department of Justice,state
NH,New Hampshire,355279.82,1377529.0,2008,1,funding,15,Department of Justice,state
NJ,New Jersey,-3436.72,9288994.0,2008,1,funding,15,Department of Justice,state
NV,Nevada,0.0,3104614.0,2008,1,funding,15,Department of Justice,state
NY,New York,1089924.35,20201249.0,2008,1,funding,15,Department of Justice,state
OH,Ohio,3063.79,11799448.0,2008,1,funding,15,Department of Justice,state
OK,Oklahoma,643997.0,3959353.0,2008,1,funding,15,Department of Justice,state
OR,Oregon,0.0,4237256.0,2008,1,funding,15,Department of Justice,state
PA,Pennsylvania,2031097.61,13002700.0,2008,1,funding,15,Department of Justice,state
PR,Puerto Rico,2280070.24,3285874.0,2008,1,funding,15,Department of Justice,state
RI,Rhode Island,448660.85,1097379.0,2008,1,funding,15,Department of Justice,state
SC,South Carolina,18541.71,5118425.0,2008,1,funding,15,Department of Justice,state
TX,Texas,457685.58,29145505.0,2008,1,funding,15,Department of Justice,state
VA,Virginia,6729857.73,8631393.0,2008,1,funding,15,Department of Justice,state
VT,Vermont,432571.63,643077.0,2008,1,funding,15,Department of Justice,state
WA,Washington,153227.69,7705281.0,2008,1,funding,15,Department of Justice,state
WV,West Virginia,7824.3,1793716.0,2008,1,funding,15,Department of Justice,state
AL,Alabama,-399.0,5024279.0,2008,2,funding,15,Department of Justice,state
AR,Arkansas,2082696.37,3011524.0,2008,2,funding,15,Department of Justice,state
AZ,Arizona,154075.0,7151502.0,2008,2,funding,15,Department of Justice,state
CA,California,2543154.83,39538223.0,2008,2,funding,15,Department of Justice,state
CO,Colorado,5593.3,5773714.0,2008,2,funding,15,Department of Justice,state
CT,Connecticut,7539749.2,3605944.0,2008,2,funding,15,Department of Justice,state
DC,District Of Columbia,7504545.36,689545.0,2008,2,funding,15,Department of Justice,state
DE,Delaware,1027465.76,989948.0,2008,2,funding,15,Department of Justice,state
FL,Florida,651832.67,21538187.0,2008,2,funding,15,Department of Justice,state
GA,Georgia,101335467.25,10711908.0,2008,2,funding,15,Department of Justice,state
GU,Guam,128.44,153836.0,2008,2,funding,15,Department of Justice,state
HI,Hawaii,1534.24,1455271.0,2008,2,funding,15,Department of Justice,state
IA,Iowa,1831.72,3190369.0,2008,2,funding,15,Department of Justice,state
ID,Idaho,1106.37,1839106.0,2008,2,funding,15,Department of Justice,state
IL,Illinois,144902.46,12812508.0,2008,2,funding,15,Department of Justice,state
IN,Indiana,16160.7,6785528.0,2008,2,funding,15,Department of Justice,state
KS,Kansas,864.54,2937880.0,2008,2,funding,15,Department of Justice,state
LA,Louisiana,277180.89,4657757.0,2008,2,funding,15,Department of Justice,state
MA,Massachusetts,2717057.97,7029917.0,2008,2,funding,15,Department of Justice,state
MD,Maryland,3020684.83,6177224.0,2008,2,funding,15,Department of Justice,state
ME,Maine,796087.77,1362359.0,2008,2,funding,15,Department of Justice,state
MI,Michigan,218531.14,10077331.0,2008,2,funding,15,Department of Justice,state
MN,Minnesota,45685.98,5706494.0,2008,2,funding,15,Department of Justice,state
MO,Missouri,2947.88,6154913.0,2008,2,funding,15,Department of Justice,state
MS,Mississippi,5368.0,2961279.0,2008,2,funding,15,Department of Justice,state
MT,Montana,13073.02,1084225.0,2008,2,funding,15,Department of Justice,state
NC,North Carolina,6133690.36,10439388.0,2008,2,funding,15,Department of Justice,state
NE,Nebraska,0.0,1961504.0,2008,2,funding,15,Department of Justice,state
NH,New Hampshire,687964.04,1377529.0,2008,2,funding,15,Department of Justice,state
NJ,New Jersey,3588014.48,9288994.0,2008,2,funding,15,Department of Justice,state
NM,New Mexico,2812.22,2117522.0,2008,2,funding,15,Department of Justice,state
NY,New York,20923.7,20201249.0,2008,2,funding,15,Department of Justice,state
OH,Ohio,749529.32,11799448.0,2008,2,funding,15,Department of Justice,state
OK,Oklahoma,377837.68,3959353.0,2008,2,funding,15,Department of Justice,state
OR,Oregon,14310.46,4237256.0,2008,2,funding,15,Department of Justice,state
PA,Pennsylvania,7283624.65,13002700.0,2008,2,funding,15,Department of Justice,state
PR,Puerto Rico,1879194.2,3285874.0,2008,2,funding,15,Department of Justice,state
RI,Rhode Island,779638.7,1097379.0,2008,2,funding,15,Department of Justice,state
SC,South Carolina,2302128.58,5118425.0,2008,2,funding,15,Department of Justice,state
