code,name,amount,population,fy,quarter,geo_layer
,,50000.0,,2008,1,district
0101,AL-01,709263638.05,727212.0,2008,1,district
0102,AL-02,540734173.55,716212.0,2008,1,district
0103,AL-03,818469855.84,721289.0,2008,1,district
0104,AL-04,614061640.05,723070.0,2008,1,district
0105,AL-05,2179304113.18,729384.0,2008,1,district
0106,AL-06,289471053.47,706497.0,2008,1,district
0107,AL-07,397145151.22,716213.0,2008,1,district
0200,AK-00,967809159.18,732673.0,2008,1,district
0401,AZ-01,229384011.52,796924.0,2008,1,district
0402,AZ-02,542447272.33,809339.0,2008,1,district
0403,AZ-03,631844543.37,799570.0,2008,1,district
0404,AZ-04,876498090.05,804813.0,2008,1,district
0405,AZ-05,45851082.35,813308.0,2008,1,district
0406,AZ-06,187722329.12,803556.0,2008,1,district
0407,AZ-07,1240683805.15,793370.0,2008,1,district
0408,AZ-08,783895399.3,813094.0,2008,1,district
0409,AZ-09,314948606.94,842342.0,2008,1,district
0501,AR-01,827277704.61,753369.0,2008,1,district
0502,AR-02,792381045.82,758976.0,2008,1,district
0503,AR-03,509008560.69,766477.0,2008,1,district
0504,AR-04,937672625.23,747069.0,2008,1,district
0601,CA-01,717902184.12,766941.0,2008,1,district
0602,CA-02,506175498.7,764439.0,2008,1,district
0603,CA-03,438526603.19,768419.0,2008,1,district
0604,CA-04,235853048.72,758825.0,2008,1,district
0605,CA-05,197814726.12,773398.0,2008,1,district
0606,CA-06,897162721.4,756779.0,2008,1,district
0607,CA-07,555846311.86,760350.0,2008,1,district
0608,CA-08,64017872.31,746240.0,2008,1,district
0609,CA-09,486204825.19,770460.0,2008,1,district
0610,CA-10,48815626.61,762072.0,2008,1,district
0611,CA-11,136383607.58,702058.0,2008,1,district
0612,CA-12,185701324.13,737766.0,2008,1,district
0613,CA-13,168064881.08,783282.0,2008,1,district
0614,CA-14,366000594.64,752226.0,2008,1,district
0615,CA-15,99761540.28,738342.0,2008,1,district
0616,CA-16,219985471.42,742459.0,2008,1,district
0617,CA-17,1992858985.43,733185.0,2008,1,district
0618,CA-18,58159918.39,734119.0,2008,1,district
0619,CA-19,84790236.12,767441.0,2008,1,district
0620,CA-20,125403096.98,766063.0,2008,1,district
0621,CA-21,32872976.72,755683.0,2008,1,district
0622,CA-22,43532506.59,795088.0,2008,1,district
0623,CA-23,169726613.29,761286.0,2008,1,district
0624,CA-24,636933685.12,763077.0,2008,1,district
0625,CA-25,145404835.15,767946.0,2008,1,district
0626,CA-26,846398005.0,751524.0,2008,1,district
0627,CA-27,521368741.28,748536.0,2008,1,district
0628,CA-28,411121315.46,739036.0,2008,1,district
0629,CA-29,68928103.74,738555.0,2008,1,district
0630,CA-30,35062051.81,731165.0,2008,1,district
0631,CA-31,87506096.1,738315.0,2008,1,district
0632,CA-32,302739109.83,763531.0,2008,1,district
0633,CA-33,28097062.24,760127.0,2008,1,district
0634,CA-34,66460374.32,750705.0,2008,1,district
0635,CA-35,82701240.59,774713.0,2008,1,district
0636,CA-36,1629273754.98,722961.0,2008,1,district
0637,CA-37,65635410.06,752632.0,2008,1,district
0638,CA-38,39865786.21,743870.0,2008,1,district
0639,CA-39,32944304.27,767831.0,2008,1,district
0640,CA-40,259059483.18,753484.0,2008,1,district
0641,CA-41,51736419.29,789845.0,2008,1,district
0642,CA-42,868050728.06,742949.0,2008,1,district
0643,CA-43,104616466.64,736160.0,2008,1,district
0644,CA-44,251896522.45,754013.0,2008,1,district
0645,CA-45,60574620.66,748285.0,2008,1,district
0646,CA-46,116532104.12,757761.0,2008,1,district
0647,CA-47,694940190.84,755464.0,2008,1,district
0648,CA-48,32374107.37,752792.0,2008,1,district
0649,CA-49,289395124.28,765147.0,2008,1,district
0650,CA-50,966274936.74,748297.0,2008,1,district
0651,CA-51,103850504.83,762785.0,2008,1,district
0652,CA-52,290499166.93,759409.0,2008,1,district
0801,CO-01,664538597.84,716790.0,2008,1,district
0802,CO-02,326341408.43,717177.0,2008,1,district
0803,CO-03,548267033.38,734246.0,2008,1,district
0804,CO-04,192582865.83,746626.0,2008,1,district
0805,CO-05,866005353.65,731281.0,2008,1,district
0806,CO-06,504025590.23,725034.0,2008,1,district
0807,CO-07,626485974.79,716843.0,2008,1,district
0808,CO-08,252861095.19,724072.0,2008,1,district
0901,CT-01,1504179560.02,717721.0,2008,1,district
0902,CT-02,370635003.78,729071.0,2008,1,district
0903,CT-03,3251470268.48,719381.0,2008,1,district
0904,CT-04,71233451.78,718640.0,2008,1,district
0905,CT-05,58154498.79,720784.0,2008,1,district
1000,DE-00,891616970.65,1003384.0,2008,1,district
1198,DC-98,4115426895.15,670050.0,2008,1,district
1201,FL-01,1244670613.43,775137.0,2008,1,district
1202,FL-02,2141830882.3,785319.0,2008,1,district
1203,FL-03,540916179.3,779758.0,2008,1,district
1204,FL-04,365877908.15,786011.0,2008,1,district
