code,name,amount,population,fy,quarter,geo_layer
AK,Alaska,967809159.18,733391.0,2008,1,state
AK,Alaska,908717062.97,733391.0,2008,2,state
AK,Alaska,1116166177.55,733391.0,2008,3,state
AK,Alaska,1855483874.94,733391.0,2008,4,state
AK,Alaska,1421894460.35,733391.0,2009,1,state
AK,Alaska,1262444388.52,733391.0,2009,2,state
AK,Alaska,2380521789.42,733391.0,2009,3,state
AK,Alaska,2545935733.55,733391.0,2009,4,state
AK,Alaska,1824462965.77,733391.0,2010,1,state
AK,Alaska,1584165931.95,733391.0,2010,2,state
AK,Alaska,1511943334.29,733391.0,2010,3,state
AK,Alaska,1959543483.01,733391.0,2010,4,state
AK,Alaska,1528001105.25,733391.0,2011,1,state
AK,Alaska,1264808540.46,733391.0,2011,2,state
AK,Alaska,1906485201.61,733391.0,2011,3,state
AK,Alaska,2222684756.33,733391.0,2011,4,state
AK,Alaska,1709738788.59,733391.0,2012,1,state
AK,Alaska,1979365473.41,733391.0,2012,2,state
AK,Alaska,1769313418.54,733391.0,2012,3,state
AK,Alaska,1912767681.01,733391.0,2012,4,state
AK,Alaska,1678223389.12,733391.0,2013,1,state
AK,Alaska,1251381764.67,733391.0,2013,2,state
AK,Alaska,1703433285.91,733391.0,2013,3,state
AK,Alaska,2198853894.64,733391.0,2013,4,state
AK,Alaska,1387770717.7,733391.0,2014,1,state
AK,Alaska,1950473979.88,733391.0,2014,2,state
AK,Alaska,1939049607.62,733391.0,2014,3,state
AK,Alaska,2408732297.93,733391.0,2014,4,state
AK,Alaska,1680451920.73,733391.0,2015,1,state
AK,Alaska,2143757177.74,733391.0,2015,2,state
AK,Alaska,1670180932.95,733391.0,2015,3,state
AK,Alaska,2752414644.23,733391.0,2015,4,state
AK,Alaska,1613183163.7,733391.0,2016,1,state
AK,Alaska,1976780339.25,733391.0,2016,2,state
AK,Alaska,2019792636.66,733391.0,2016,3,state
AK,Alaska,2678745826.22,733391.0,2016,4,state
